gamma_kappa,epsilon_kappa,kappa情景,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略替代TOPSIS得分,S5排序,S5_替代TOPSIS得分,S4排序,S4_替代TOPSIS得分,S3排序,S3_替代TOPSIS得分,S2排序,S1排序,S5是否第一,S4是否第一,S3是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,4,5,5,S5,高强度综合激励策略,0.6488976327177307,1,0.6488976327177307,2,0.5562100885765503,3,0.4048306138592377,4,5,True,False,False,14261517.373011336,14527058.958930848,14778023.102360135,516505.7293487992,250964.14342928678,0.01520391284274627,671949.2151970809,275643.352047062,11557.960085293184,-57.25232406902085,-57024.87463179638,14859131.970633622,597614.5976222865,332073.0117027741,7594.981973740623,-59.919525371621944,-67379.09698286571,14699790.935321808,-59.59526221232434,-71734.76822797448,14763194.131605988
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,6,7,5,S5,高强度综合激励策略,0.633012201688211,1,0.633012201688211,2,0.5486099246359759,3,0.45241874278474153,4,5,True,False,False,19966124.32221587,20224374.07591669,20553955.33128674,587831.0090708695,329581.25537005067,0.011066759123233572,671949.2151970809,276920.4431424395,2798.04860141586,-59.40432682824122,-93053.60276463546,20599560.6733212,633436.3511053286,375186.5974045098,1641.007796703036,-59.09547369959604,-103235.31310679473,20422385.681214422,-59.10930019529457,-107599.27683459932,20486309.01029677
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,8,9,5,S5,高强度综合激励策略,0.6962127097773285,1,0.6962127097773285,2,0.6141913516607654,4,0.31269182338671986,3,5,True,False,False,25670731.271420408,25889063.26569404,26272585.80261513,601854.5311947204,383522.53692108765,0.008717992575130505,671949.2151970809,277076.8868016232,1083.6005463826355,-58.64717534669173,-128545.28349526855,26306027.37935217,635296.1079317629,416964.11365813017,456.61204985561903,-58.32299019602227,-138572.82625887124,26107175.449250758,-58.47007263527486,-142963.03076895594,26176715.10391418
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,12,13,5,S5,高强度综合激励策略,0.6527077546478208,1,0.6527077546478208,2,0.49819070787049874,3,0.4467055798753289,4,5,True,False,False,37079945.16982948,37219092.4474838,37615973.418885425,536028.2490559444,396880.9714016244,0.006135137188194839,671949.2151970809,277098.3987825339,-1230.8895110184228,-57.982267356181296,-198788.17648587225,37643641.60259113,563696.4327616468,424549.1551073268,-1231.9386714650943,-57.89922113168263,-208700.99066309386,37436981.23957674,-57.88968292985759,-213096.4309060356,37506408.79623084
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,1,2,5,S5,高强度综合激励策略,0.5711562832121254,1,0.5711562832121254,2,0.5511450028165946,3,0.4992639049571829,4,5,True,False,False,5704606.949204534,5861428.770402742,5588154.59444898,-116452.35475555435,-273274.1759537617,0.03752070012466531,671944.5954931019,243154.13251667432,26848.02669190033,-29.55733188568295,-12819.605507944478,5826877.442066443,122270.49286190886,-34551.328336298466,24301.981477722995,-37.393224577438374,-18847.673071398283,5852837.03449519,-44.49986216367529,-22816.743880864058,5907674.636893889
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,2,3,5,S5,高强度综合激励策略,0.5692253910097362,1,0.5692253910097362,2,0.5535898566740599,4,0.4709972181149081,3,5,True,False,False,8556910.4238068,8751309.975879211,8659694.793441474,102784.36963467486,-91615.18243773654,0.025171248559950985,671944.5954931019,265218.1186154096,22900.49707518761,-41.254661257205925,-25253.29974197637,8843211.282014389,286300.858207589,91901.30613517761,17478.357699920864,-50.91548382382245,-34226.950525142514,8816372.314796014,-52.2343702823665,-38623.96462911341,8874589.80627069
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,3,4,5,S5,高强度综合激励策略,0.6001673625210937,1,0.6001673625210937,2,0.581277960672848,4,0.42989534068340657,3,5,True,False,False,11409213.898409069,11618436.331971396,11669595.867767017,260381.96935794875,51159.535795621574,0.01903281015699835,671944.5954931019,272940.5137499669,16611.793300670735,-53.85162196785557,-41622.16570664442,11803270.485525269,394056.5871162005,184834.1535538733,11567.643392770155,-56.63158146112229,-51454.17574313143,11722463.422155472,-53.81819546619604,-54952.68539520784,11780475.054668942
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,4,5,5,S5,高强度综合激励策略,0.6377452497934718,1,0.6377452497934718,2,0.5529074453863446,4,0.40789525334426513,3,5,True,False,False,14261517.373011336,14475598.084718177,14607952.264682846,346434.8916715104,132354.17996466905,0.015372934430004103,671944.5954931019,275643.352047062,9307.221276637083,-57.2896011468563,-59072.652140347986,14710966.566777457,449449.1937661208,235368.48205927946,6101.930682203394,-59.8569287323639,-69528.14432417287,14599130.699640969,-59.35285394713047,-72849.93862728792,14657340.289195867
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,6,7,5,S5,高强度综合激励策略,0.6224574329141079,1,0.6224574329141079,2,0.5424527990601307,3,0.4621151086540152,4,5,True,False,False,19966124.32221587,20172350.29700824,20369634.777362578,403510.4551467076,197284.48035433888,0.01116356294971033,671944.5954931019,276920.4431424395,2395.323772080002,-59.390493187443084,-95008.9638634678,20443038.577830873,476914.2556150034,270688.2808226347,1403.660384371941,-58.91385928761949,-105342.99419135664,20318904.020367585,-58.91382883894787,-108567.05488798785,20377381.75223252
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,8,9,5,S5,高强度综合激励策略,0.6994849182307713,1,0.6994849182307713,2,0.616513533271289,4,0.30169229236145817,3,5,True,False,False,25670731.271420408,25837110.108252924,26086002.84736782,415271.57594741136,248892.73911489546,0.0087786809742165,671944.5954931019,277076.8868016232,1026.5008619260232,-58.37815331274423,-130353.61921076011,26148288.06797789,477556.79655748233,311177.95972496644,418.46321851409823,-58.24105989296392,-140565.3556584015,26003040.26054828,-58.19924979188384,-143756.8547501295,26067076.69530775
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,12,13,5,S5,高强度综合激励策略,0.6463986142590099,1,0.6463986142590099,2,0.49338556079574847,3,0.45047281345747353,4,5,True,False,False,37079945.16982948,37167142.22232346,37429265.14898683,349319.97915735096,262122.92666336894,0.006165137342786366,671944.5954931019,277098.3987825339,-1230.8957052759085,-57.92351302008262,-200481.0179358581,37485741.39265443,405796.22282494605,318599.170330964,-1231.9404993941373,-57.90019826003445,-210647.85135129478,37332958.06963068,-57.89351759207991,-213838.35501127434,37396855.205264226
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,1,2,5,S5,高强度综合激励策略,0.5736454041980423,1,0.5736454041980423,2,0.55003239564942,3,0.49571210848918756,4,5,True,False,False,5704606.949204534,5821607.790324727,5487662.210486493,-216944.73871804122,-333945.579838234,0.03813029521859722,671884.3588059495,243154.13251667432,21818.023705965967,-34.23276184347871,-16983.093806435238,5732854.847145919,28247.897941384465,-88752.94317880832,19692.32521888261,-42.398761825217186,-21974.32200875599,5778044.550973374,-48.22919138979038,-25915.365231030853,5831032.956137038
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,2,3,5,S5,高强度综合激励策略,0.5826896154651634,1,0.5826896154651634,2,0.536079278750997,4,0.46364089052459884,3,5,True,False,False,8556910.4238068,8703154.488642188,8519410.966386348,-37499.45742045157,-183743.52225583978,0.025553580853818158,671884.3588059495,265218.1186154096,18756.73310673554,-45.77183064143904,-30736.402016737324,8716157.590443756,159247.16663695686,13003.101801568642,14086.548252115612,-53.02927373850577,-37960.766208482935,8722636.768914599,-54.15816202824675,-42182.16041500008,8778082.57975074
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,3,4,5,S5,高强度综合激励策略,0.5849068444473164,1,0.5849068444473164,2,0.5605269028035192,4,0.4327264309398145,3,5,True,False,False,11409213.898409069,11567062.806772929,11503464.791456394,94250.89304732531,-63598.01531653479,0.01929106149375455,671884.3588059495,272940.5137499669,14016.851362701085,-57.125275982909976,-48030.90761248872,11656943.435816538,247729.537407469,89880.6290436089,9624.302943926861,-58.537397638446066,-55639.50591590756,11618460.241428701,-55.63476330070917,-58977.62932800251,11673479.394221075
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,4,5,5,S4,流失召回强化策略,0.6275880183663975,2,0.5231229822093318,1,0.6275880183663975,4,0.41821334389326953,3,5,False,True,False,14261517.373011336,14423980.40745723,14426870.839605493,165353.46659415774,2890.4321482628584,0.015556080691793527,671884.3588059495,275643.352047062,7802.6056367318115,-58.05262097472493,-65584.65829987859,14554754.914995762,293237.54198442586,130774.50753853098,5119.436379342478,-59.18492390945465,-73497.11708489992,14490050.250005098,-58.53996095347707,-76623.53423844062,14545114.152718117
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,6,7,5,S5,高强度综合激励策略,0.5911218313547414,1,0.5911218313547414,2,0.5620561025357298,4,0.46809225451535913,3,5,True,False,False,19966124.32221587,20120827.110365555,20178819.1240699,212694.8018540293,57992.01370434463,0.011264796787843387,671884.3588059495,276920.4431424395,2170.4046336347433,-59.41987062326934,-101362.0260977752,20281855.667563558,315731.3453476876,161028.55719800293,1330.7486863021306,-58.9262928415752,-109278.59138954751,20209041.145393085,-58.80083179987285,-112225.37894757063,20264030.958541706
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,8,9,5,S5,高强度综合激励策略,0.688709759417278,1,0.688709759417278,2,0.6197396189007833,4,0.30145005430097327,3,5,True,False,False,25670731.271420408,25785599.147873726,25895078.18101237,224346.90959196165,109479.03313864395,0.008841026006435881,671884.3588059495,277076.8868016232,1034.4765973171316,-58.33979073523188,-136692.13449582353,25986955.29906119,316224.0276407823,201356.1511874646,427.2723411787208,-58.00379036712731,-144435.68736052793,25893251.299182214,-58.13334291789423,-147387.2634205527,25953826.66655852
