指标,订单数,占比
会员商品,561871,0.9905628111645487
私教商品,3847,0.006782153082380153
优惠类商品,2022,0.003564729278027728
赠送权益/0元权益,238,0.00041958732352650807
正常收入订单,566986,0.9995804126764735
需要人工复核,1164,0.0020520993469951908
