gamma_kappa,epsilon_kappa,kappa情景,延续活跃系数,delay_window_count,总窗口数,可行策略数量,最优策略编号,最优策略名称,最优策略TOPSIS得分,S5排序,S5_TOPSIS得分,S4排序,S4_TOPSIS得分,S3排序,S2排序,S5是否第一,S4是否第一,S0平台利润,S1平台利润,S5平台利润,S5相对S0利润差,S5相对S1利润差,S5成本收入比,S5积分成本,S5总活跃度提升,S5续费概率提升,S5私教购买概率提升,S5私教收入提升,S4平台利润,S4相对S0利润差,S4相对S1利润差,S4续费概率提升,S4私教购买概率提升,S4私教收入提升,S3平台利润,S3私教购买概率提升,S3私教收入提升,S2平台利润
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,1,2,5,S4,流失召回强化策略,0.5549728665191618,2,0.5504910013132025,1,0.5549728665191618,4,3,False,True,5704606.949204534,6535532.846804089,6015700.745113703,311093.79590916913,-519832.1016903855,0.038904346343398476,753520.0956363467,405945.353740733,53843.04467260155,42.275042974959895,24016.279560205672,6292004.216010866,587397.2668063315,-243528.63079322316,51609.81934483312,30.558064061655973,23000.13425122024,6380488.92614062,17.301823761328787,17679.19905392127,6425549.046605537
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,2,3,5,S5,高强度综合激励策略,0.6204102445012529,1,0.6204102445012529,2,0.4804995192091652,4,3,True,False,8556910.4238068,9737014.457774302,9339772.685659785,782862.2618529852,-397241.77211451717,0.026092471504451195,753520.0956363467,442781.13583942916,49857.75235083711,17.323907653446046,29025.560552342766,9584107.51209493,1027197.0882881302,-152906.94567937218,46815.85975004445,-14.809698644552782,18217.267798746965,9651451.40335765,-27.721980009869323,8915.29478630083,9691506.520239433
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,3,4,5,S4,流失召回强化策略,0.5615681011327787,2,0.5580605074011797,1,0.5615681011327787,4,3,False,True,11409213.898409069,12846457.709262127,12610864.620070811,1201650.7216617428,-235593.0891913157,0.01970721856127387,753520.0956363467,455673.6595739728,44710.36056658897,-28.92019985488734,19900.968024673755,12807718.43311433,1398504.5347052608,-38739.276147797704,39792.15051695384,-33.873950867478015,7504.345363991335,12849373.483450811,-37.02639006288241,-2712.359681462811,12877791.731769152
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,4,5,5,S4,流失召回强化策略,0.6475636250275443,2,0.5882458865984345,1,0.6475636250275443,4,3,False,True,14261517.373011336,15879444.732129542,15809067.39494667,1547550.0219353344,-70377.337182872,0.01590240734612717,753520.0956363467,460186.04288106307,37229.65293045769,-37.26442721772278,8202.078390576993,15957782.047368884,1696264.6743575484,78337.31523934193,32301.222782335353,-38.07908706070066,-4315.958232538949,15951109.328720812,-48.50710820182084,-17580.14607656095,15976395.545470951
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,6,7,5,S4,流失召回强化策略,0.5974544338203264,2,0.5495535080499888,1,0.5974544338203264,4,3,False,True,19966124.32221587,21850303.096986838,21942736.67191375,1976612.3496978804,92433.57492691278,0.011605323237337328,753520.0956363467,462318.14399366325,19978.355289812276,-52.859266476656074,-22833.44593037956,22025348.882227626,2059224.5600117557,175045.785240788,17653.745523661866,-49.77832097569475,-35582.43904431909,21975270.31517838,-50.03993252775641,-48802.9892370922,21998322.96416171
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,8,9,5,S5,高强度综合激励策略,0.606762755957563,1,0.606762755957563,2,0.5863060746561997,4,3,True,False,25670731.271420408,27740829.546751738,27907551.67307024,2236820.4016498327,166722.12631850317,0.00919024986756213,753520.0956363467,462579.32637995674,13887.11172374216,-51.069501095501565,-53493.32992013602,27967614.209575113,2296882.938154705,226784.6628233753,12676.14794291674,-51.84148667544273,-66608.85435732699,27902939.912625007,-52.56561854478801,-80171.10936430853,27925355.903967064
0.25,1e-09,"gamma=0.25, epsilon=1e-09",0.35,12,13,5,S5,高强度综合激励策略,0.6254496717746485,1,0.6254496717746485,2,0.5616562630443969,4,3,True,False,37079945.16982948,39250119.98905178,39581632.78998022,2501687.6201507375,331512.8009284362,0.006530467850016399,753520.0956363467,462615.24059046194,4438.516564626085,-55.86756520408475,-119259.21476257406,39586979.39468706,2507034.224857576,336859.40563527495,3295.0896663672966,-56.26521582231874,-133162.25176730787,39488251.00407222,-56.35781974483636,-147068.45940028015,39505822.23904009
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,1,2,5,S5,高强度综合激励策略,0.5612374956571904,1,0.5612374956571904,2,0.5331958433041811,4,3,True,False,5704606.949204534,6167024.820287926,5699304.346889122,-5302.602315411903,-467720.47339880373,0.04079938836841558,753116.0387282613,405945.353740733,36139.4683592501,-10.12975029803076,-6679.850095416536,5957766.399544281,253159.45033974666,-209258.42074364517,32866.90246718191,-24.874188237926276,-8704.142639545782,6035038.258447827,-30.40579846732825,-12023.198879181378,6078816.9219139395
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,2,3,5,S5,高强度综合激励策略,0.5840801046516113,1,0.5840801046516113,2,0.536523733885504,4,3,True,False,8556910.4238068,9183671.415085016,8842756.579088453,285846.1552816536,-340914.8359965626,0.027434720285463905,753116.0387282613,442781.13583942916,30360.77864526843,-31.006636544013656,-15982.179734803416,9067633.06913418,510722.6453273799,-116038.34595083632,26932.765183693595,-42.9958187335324,-21714.401203069836,9116426.463470146,-49.21658077703665,-27058.715063011943,9156440.195147347
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,3,4,5,S5,高强度综合激励策略,0.6616378669990597,1,0.6616378669990597,2,0.5337336590426311,3,5,True,False,11409213.898409069,12112051.853725204,11924614.164529894,515400.26612082496,-187437.6891953107,0.02076613327437906,753116.0387282613,455673.6595739728,24086.54814832321,-50.33027116305812,-31333.102322217834,12108549.424882233,699335.5264731646,-3502.4288429711014,19851.275728857287,-54.17671278066155,-38341.74052747688,12130117.140980428,-57.66944985168572,-44726.7217909192,12162553.50531768
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,4,5,5,S4,流失召回强化策略,0.6392045249499143,2,0.5150923184527734,1,0.6392045249499143,4,3,False,True,14261517.373011336,14997842.476534693,14938542.105806807,677024.7327954713,-59300.370727885514,0.016777865481554112,753116.0387282613,460186.04288106307,17097.042295413055,-57.90943780961445,-49064.57970317494,15070749.048246656,809231.6752353199,72906.57171196304,11717.142043929689,-55.49294974331533,-55237.294604926254,15054818.959565913,-58.209509895246896,-62366.130346042104,15084334.923976136
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,6,7,5,S3,私教转化强化策略,0.5339489669734114,4,0.4739443366428379,5,0.44578893442492323,1,2,False,False,19966124.32221587,20713179.431287754,20748734.9952004,782610.6729845293,35555.56391264498,0.012244312818176933,753116.0387282613,462318.14399366325,3879.208996553981,-59.1838174997262,-84640.47787741158,20838604.86992024,872480.5477043688,125425.43863248453,2588.0922059142085,-59.19552529533063,-90847.6610321257,20801927.8446573,-58.964412915117116,-97999.4963845496,20830498.889731973
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,8,9,5,S4,流失召回强化策略,0.5137450524115004,5,0.4595756942585567,1,0.5137450524115004,4,3,False,True,25670731.271420408,26397487.87928733,26459133.49041926,788402.2189988531,61645.61113193259,0.009674902549265174,753116.0387282613,462579.32637995674,411.52806441563894,-58.768080743610014,-120169.03179838567,26540634.879438926,869903.6080185175,143147.00015159696,321.16773123814573,-58.66425432993987,-126280.37700085214,26497495.469255693,-58.63240699944583,-133422.22703210963,26526221.34226166
0.25,0.0001,"gamma=0.25, epsilon=0.0001",0.35,12,13,5,S2,均衡促活策略,0.5796156918582301,5,0.45661280102104934,2,0.5763968241110222,3,1,False,False,37079945.16982948,37693376.779475085,37791166.29509337,711221.1252638921,97789.51561828703,0.006830466981786217,753116.0387282613,462615.24059046194,-2001.4214098094167,-58.071546870443164,-190589.1778041711,37854872.29694313,774927.1271136478,161495.51746804267,-1989.696339158792,-57.979535447719734,-196594.8662792953,37806556.74699237,-57.91547321461745,-203648.6223283792,37834755.601357855
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,1,2,5,S5,高强度综合激励策略,0.5587855296740848,1,0.5587855296740848,2,0.5326598686238077,4,3,True,False,5704606.949204534,6098058.504970447,5594675.643343234,-109931.30586129986,-503382.8616272127,0.041334834067218995,750293.5634188744,405945.353740733,30603.136576288092,-14.634126877722112,-9446.308878451528,5860724.160591567,156117.21138703264,-237334.34437888023,28123.275968268452,-27.484229879312558,-10819.749274782807,5946546.154168175,-32.2578833383342,-13960.975763647788,5991506.955949533
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,2,3,5,S5,高强度综合激励策略,0.5757444600472165,1,0.5757444600472165,2,0.5409656575563236,4,3,True,False,8556910.4238068,9089744.492564855,8698998.45559532,142088.03178852051,-390746.03696953505,0.027755826562437812,750293.5634188744,442781.13583942916,26111.75763392605,-32.74620777773157,-19271.064996401168,8938870.54634491,381960.12253811024,-150873.94621994533,23496.14356782309,-43.83386555871186,-24038.006330127275,8999599.719787423,-49.72377031280096,-29133.330175184965,9041006.338882696
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,3,4,5,S5,高强度综合激励策略,0.6394562803648538,1,0.6394562803648538,2,0.5022794889622474,5,4,True,False,11409213.898409069,11999984.587206455,11752394.526032645,343180.62762357667,-247590.0611738097,0.020977877612671593,750293.5634188744,455673.6595739728,21012.57596556711,-50.70652775462906,-34753.12320293399,11953346.16699169,544132.2685826216,-46638.420214764774,16996.662486803678,-55.83200207155292,-41116.86218530091,11988648.530052118,-59.391489308639514,-47263.543603299884,12022767.17277236
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,4,5,5,S4,流失召回强化策略,0.7014153468391253,2,0.40278225497728515,1,0.7014153468391253,3,5,False,True,14261517.373011336,14877897.848899787,14742028.358426208,480510.98541487195,-135869.49047357962,0.016930006948433576,750293.5634188744,460186.04288106307,14520.112518595563,-59.851125798000126,-53009.04678358167,14892479.239020169,630961.866008833,14581.39012038149,9264.41497299552,-56.534725927738045,-58339.176390406734,14895229.318083983,-59.23729265070602,-65196.33842711343,14927727.650026327
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,6,7,5,S1,低补贴保留策略,0.5526490803151036,3,0.4330618189912715,5,0.37908534737570904,4,2,False,False,19966124.32221587,20588996.49793467,20526433.29310023,560308.9708843604,-62563.20483443886,0.01232746101272501,750293.5634188744,462318.14399366325,3100.4534580510485,-59.489584229365114,-88919.60272346315,20644760.77294139,678636.4507255182,55764.27500671893,2154.00517702454,-59.517994407027466,-94237.07825890585,20631497.004153877,-59.31143352148567,-101086.0464806527,20663996.127774946
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,8,9,5,S4,流失召回强化策略,0.5915520087914155,5,0.4657985529908751,1,0.5915520087914155,3,2,False,True,25670731.271420408,26272650.379561488,26232690.683362458,561959.4119420499,-39959.696199029684,0.009720519626987542,750293.5634188744,462579.32637995674,328.7075553499789,-58.70677104506532,-124522.77466193249,26344437.17807131,673705.9066509008,71786.7985098213,270.9176902625818,-58.41751326365741,-129655.15818553348,26325659.443423152,-58.422608219811565,-136440.08777262864,26358388.186286557
0.25,0.001,"gamma=0.25, epsilon=0.001",0.35,12,13,5,S4,流失召回强化策略,0.6541450880470876,5,0.3768172855193395,1,0.6541450880470876,3,2,False,True,37079945.16982948,37568663.12237906,37564204.41661936,484259.2467898801,-4458.705759696662,0.006845667854465219,750293.5634188744,462615.24059046194,-2001.4372740315184,-58.03276089881262,-194816.9857260005,37658223.53869721,578278.3688677326,89560.41631815583,-1990.0834181193923,-57.927461942151034,-199831.66035874758,37634620.33082556,-57.898372159664156,-206594.97357695608,37666750.601671174
0.25,0.01,"gamma=0.25, epsilon=0.01",0.35,1,2,5,S5,高强度综合激励策略,0.5597901070456897,1,0.5597901070456897,2,0.5390976743628398,4,3,True,False,5704606.949204534,6013847.00276785,5492875.857258727,-211731.09194580745,-520971.14550912287,0.041407444726116446,738093.1873017807,405945.353740733,25153.79779285323,-26.174182830684288,-14747.874799976184,5764608.090071353,60001.14086681884,-249238.91269649658,23024.992066058287,-34.976133003304135,-15593.074633931712,5851305.402050007,-39.52821116554879,-19283.512451433926,5896979.763282278
