模型,阈值,测试AUC,测试F1,测试Recall,测试Precision,测试Brier
状态增强随机森林,0.35999999999999993,0.9701496293262774,0.874412134337678,0.7883417658376684,0.9815800681431005,0.13053577563682767
普通随机森林,0.35999999999999993,0.9759090664800403,0.9633750173379179,0.9403976341480795,0.9875033673561017,0.11843884074514809
Logistic-GAM,0.37999999999999995,0.9088439427632398,0.7711480623638814,0.6358440818071688,0.9796016951013328,0.19679256045111176
Cox,0.32999999999999996,0.7873270527420246,0.8741150399090035,0.9528682391505736,0.8073857598299681,0.19514575716359286
