观察期标签,delay_window_count,总窗口数,策略编号,策略名称,平台利润,总活跃度提升,最终续费概率提升,最终私教购买概率提升,私教收入提升,积分成本,成本收入比,原TOPSIS得分,原排序,替代TOPSIS得分,替代排序
L2,1,2,S4,流失召回强化策略,6604742.909985793,219814.70189014787,69665.99737848771,69.88676071095254,44968.3444953681,455576.4985194944,0.0225496797901181,0.559740669651596,1,0.5585048485550753,1
L2,1,2,S5,高强度综合激励策略,6309599.040208936,405945.353740733,71494.38991246605,77.36412958128315,48823.47546349827,788873.9182760085,0.0388363025533506,0.54303907546668,2,0.5438445427218496,2
L2,1,2,S2,均衡促活策略,6753436.498900937,134732.39808271662,67509.86314916264,59.08247420865571,39734.70782412484,273175.976635938,0.0135866654334341,0.5356320242131078,3,0.5315527087939481,3
L2,1,2,S3,私教转化强化策略,6704700.273092316,146917.78026927108,67902.11633382383,61.64337404058571,40817.0478331733,323755.3396197923,0.0160979377809226,0.5286554316344573,4,0.524590074007754,4
L2,1,2,S1,低补贴保留策略,6863799.3498925,55475.6624538752,61944.79748866788,3.586224627825519,18655.143996805597,68463.38854754159,0.0034518890417564,0.4569609228339883,5,0.45615545557779025,5
