模型,阈值,测试AUC,测试F1,测试Recall,测试Precision,测试Brier
状态增强随机森林,0.3499999999999999,0.9640167559901265,0.9599103856617058,0.9301237998362567,0.991667879012313,0.1360571685200992
普通随机森林,0.32999999999999996,0.9678732402284632,0.9574511713743784,0.9267372912893542,0.9902706715092389,0.12511866692439338
Logistic-GAM,0.3499999999999999,0.9124794056710432,0.7906156787194002,0.6592403304636911,0.987384575367408,0.20082004072141374
Cox,0.35999999999999993,0.8083293371900674,0.9215884458949317,0.9387823454983005,0.905013034847289,0.16787651720445604
