商品子类,订单数,占比
monthly,549989,0.9696151784832799
quarterly,10199,0.01798055089347418
single_pt,2432,0.00428754777653978
annual,1467,0.002586279847115073
trial_pt,1271,0.0022407373453873602
unknown,1045,0.0018423056852319365
small_package,231,0.00040724651989337547
visit_pass,223,0.0003931427443126525
member_other,119,0.00020979366176325403
gift_right,117,0.00020626771786807328
discount_member,97,0.0001710082789162659
middle_package,29,5.112618648012073e-05
large_package,5,8.81485973795185e-06
