特征集,模型,训练方式,特征数,训练样本数,训练正样本数,训练样本正样本比例,真实训练正样本比例,测试正样本数,阈值,Fit_PR_AUC,Train_PR_AUC,PR_AUC,PR_AUC泛化差,ROC_AUC,Brier,F1,Recall,Precision,TP,FP,TN,FN,预测正样本数,是否先验校正
全量增强特征,CaseControl-HistGBDT,case_control,57,114070,1870,0.01639344262295082,0.0008253698385144049,458,0.06796426378843727,0.350145070711286,0.21347850312513061,0.23989647521835122,-0.02641797209322061,0.8711103732581843,0.0007686276242938472,0.3385049365303244,0.26200873362445415,0.47808764940239046,120,131,502889,338,251,True
核心精简特征,CaseControl-HistGBDT,case_control,30,114070,1870,0.01639344262295082,0.0008253698385144049,458,0.08070712155666786,0.34094593917113913,0.2107762867823088,0.23830722937793988,-0.027530942595631075,0.8689339815462207,0.0007618687314298788,0.3380281690140845,0.26200873362445415,0.47619047619047616,120,132,502888,338,252,True
核心精简特征,CaseControl-ExtraTrees,case_control,30,114070,1870,0.01639344262295082,0.0008253698385144049,458,0.7066187793067669,0.3123599993797675,0.20692364748955533,0.23283667531957314,-0.02591302783001781,0.8244211903335295,0.0021055460019546728,0.3297709923664122,0.23580786026200873,0.5482233502538071,108,89,502931,350,197,True
全量增强特征,增强随机森林,full,57,2265651,1870,0.0008253698385144049,0.0008253698385144049,458,0.8804235402720989,0.2410857192118352,0.2410857192118352,0.23260021296808572,0.008485506243749469,0.8307835043151591,0.061131163420680604,0.3362573099415205,0.25109170305676853,0.5088495575221239,115,111,502909,343,226,False
全量增强特征,CaseControl-ExtraTrees,case_control,57,114070,1870,0.01639344262295082,0.0008253698385144049,458,0.662308780156727,0.31696325875439885,0.20905420429006683,0.22962632099047253,-0.020572116700405707,0.8346087839059071,0.0019768091706707912,0.3302180685358255,0.2314410480349345,0.5760869565217391,106,78,502942,352,184,True
核心精简特征,增强随机森林,full,30,2265651,1870,0.0008253698385144049,0.0008253698385144049,458,0.9245030697745165,0.22414677828104915,0.22414677828104915,0.22612272896289626,-0.0019759506818471106,0.8518145271555437,0.06831306074943529,0.3404255319148936,0.2445414847161572,0.56,112,88,502932,346,200,False
